BHIIdentifier,PipelineFeature,INTEXTIDOD,Odometerft,DistancetoNextPipelineFeatureft,WTin,PipeGradepsi,PipeDescription,PipeDiameterin,MOPpsi,Depth,Depthin,Lengthin,Widthin,OClockOrientationhhmm,mB31GBurstpsi,ERF,EffDepth,EffLengthin,EffAreaBurstpsi,UpstreamUSReferenceName,DistanceToUSReferenceft,DownstreamDSReferenceName,DistanceFromDSReferenceft,DistancetoUSWeldft,DistancetoDSWeldft,Length2ndUSJointft,LengthUSJointft,LengthDefectJointft,DefectJointNumber,LengthDSJointft,Length2ndDSJointft,XYZInformationNAD83Latitude,XYZInformationNAD83Longitude,XYZInformationNAVD88Elevationft,Comments
DMA 280,Metal Loss,Ext,7082.82,0.42,0.219,35000,ERW,6.625,715,15,0.032,0.512,0.561,5:16,2953,0.336,15,0.51,2949,AGM 2,2134.53,Valve 607,779.80,16.22,0.42,0.36,1.29,16.64,3020,1.21,1.01,33.6833353,-118.0062111,100.19,
GWD 3030,Girth Weld,,7083.24,0.77,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2134.95,Valve 607,779.39,16.64,1.21,1.29,16.64,1.21,3030,1.01,40.06,33.6833361,-118.0062101,100.19,
BND 48,Bend,,7084.01,0.44,0.219,35000,ERW,6.625,715,,,14.528,,,,,,,,AGM 2,2135.73,Valve 607,778.61,0.77,0.44,1.29,16.64,1.21,3030,1.01,40.06,33.6833379,-118.0062088,100.19,3.0D 48.3 deg left turn over bend
GWD 3040,Girth Weld,,7084.45,1.01,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2136.17,Valve 607,778.17,1.21,1.01,16.64,1.21,1.01,3040,40.06,40.97,33.6833391,-118.0062085,100.18,
GWD 3050,Girth Weld,,7085.46,40.06,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2137.17,Valve 607,777.16,1.01,40.06,1.21,1.01,40.06,3050,40.97,40.95,33.6833418,-118.0062085,100.17,
GWD 3060,Girth Weld,,7125.52,40.97,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2177.23,Valve 607,737.10,40.06,40.97,1.01,40.06,40.97,3060,40.95,40.81,33.6834508,-118.0062130,98.52,
GWD 3070,Girth Weld,,7166.50,40.95,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2218.21,Valve 607,696.13,40.97,40.95,40.06,40.97,40.95,3070,40.81,41.02,33.6835622,-118.0062171,95.60,
GWD 3080,Girth Weld,,7207.44,40.81,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2259.15,Valve 607,655.18,40.95,40.81,40.97,40.95,40.81,3080,41.02,40.99,33.6836736,-118.0062211,94.17,
GWD 3090,Girth Weld,,7248.26,41.02,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2299.97,Valve 607,614.37,40.81,41.02,40.95,40.81,41.02,3090,40.99,40.92,33.6837846,-118.0062258,92.04,
GWD 3100,Girth Weld,,7289.28,40.99,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2340.99,Valve 607,573.35,41.02,40.99,40.81,41.02,40.99,3100,40.92,41.03,33.6838962,-118.0062306,89.78,
GWD 3110,Girth Weld,,7330.26,40.92,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2381.98,Valve 607,532.36,40.99,40.92,41.02,40.99,40.92,3110,41.03,40.95,33.6840076,-118.0062353,87.60,
GWD 3120,Girth Weld,,7371.18,41.03,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2422.90,Valve 607,491.44,40.92,41.03,40.99,40.92,41.03,3120,40.95,40.96,33.6841189,-118.0062397,85.81,
GWD 3130,Girth Weld,,7412.21,40.95,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2463.93,Valve 607,450.41,41.03,40.95,40.92,41.03,40.95,3130,40.96,40.87,33.6842305,-118.0062431,83.02,
GWD 3140,Girth Weld,,7453.16,40.96,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2504.87,Valve 607,409.47,40.95,40.96,41.03,40.95,40.96,3140,40.87,40.98,33.6843419,-118.0062459,81.39,
GWD 3150,Girth Weld,,7494.12,40.87,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2545.83,Valve 607,368.51,40.96,40.87,40.95,40.96,40.87,3150,40.98,40.87,33.6844535,-118.0062468,79.85,
GWD 3160,Girth Weld,,7534.99,40.97,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2586.70,Valve 607,327.64,40.87,40.98,40.96,40.87,40.98,3160,40.87,40.94,33.6845647,-118.0062447,78.76,
GWD 3170,Girth Weld,,7575.96,40.87,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2627.67,Valve 607,286.66,40.98,40.87,40.87,40.98,40.87,3170,40.94,40.95,33.6846764,-118.0062449,78.12,
GWD 3180,Girth Weld,,7616.83,40.94,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2668.55,Valve 607,245.79,40.87,40.94,40.98,40.87,40.94,3180,40.95,40.81,33.6847877,-118.0062479,77.38,
GWD 3190,Girth Weld,,7657.78,40.95,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2709.49,Valve 607,204.85,40.94,40.95,40.87,40.94,40.95,3190,40.81,40.84,33.6848992,-118.0062512,76.53,
GWD 3200,Girth Weld,,7698.72,40.80,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2750.44,Valve 607,163.90,40.95,40.81,40.94,40.95,40.81,3200,40.84,40.79,33.6850108,-118.0062534,76.40,
GWD 3210,Girth Weld,,7739.53,40.84,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2791.24,Valve 607,123.10,40.81,40.84,40.95,40.81,40.84,3210,40.79,5.34,33.6851219,-118.0062560,76.37,
GWD 3220,Girth Weld,,7780.37,40.79,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2832.08,Valve 607,82.26,40.84,40.79,40.81,40.84,40.79,3220,5.34,2.41,33.6852332,-118.0062580,76.47,
GWD 3230,Girth Weld,,7821.15,5.34,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2872.87,Valve 607,41.47,40.79,5.34,40.84,40.79,5.34,3230,2.41,24.51,33.6853443,-118.0062590,76.31,
GWD 3240,Girth Weld,,7826.49,1.20,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2878.20,Valve 607,36.14,5.34,2.41,40.79,5.34,2.41,3240,24.51,1.95,33.6853589,-118.0062591,76.24,
BND 49,Bend,,7827.69,1.21,0.219,35000,ERW,6.625,715,,,28.946,,,,,,,,AGM 2,2879.41,Valve 607,34.93,1.20,1.21,40.79,5.34,2.41,3240,24.51,1.95,33.6853618,-118.0062606,76.26,3.0D 91.6 deg left turn sag bend
GWD 3250,Girth Weld,,7828.90,24.51,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2880.62,Valve 607,33.72,2.41,24.51,5.34,2.41,24.51,3250,1.95,1.00,33.6853630,-118.0062642,76.32,
GWD 3260,Girth Weld,,7853.41,0.74,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2905.13,Valve 607,9.21,24.51,1.95,2.41,24.51,1.95,3260,1.00,0.92,33.6853617,-118.0063439,77.34,
CLS 45,Cluster,Ext,7854.16,0.16,0.219,35000,ERW,6.625,715,15,0.033,3.725,3.686,5:44,2726,0.364,10,3.72,2783,AGM 2,2905.87,Valve 607,8.47,0.75,1.20,2.41,24.51,1.95,3260,1.00,0.92,33.6853617,-118.0063464,77.36,CLS C
CLS 46,Cluster,Ext,7854.32,0.10,0.219,35000,ERW,6.625,715,11,0.025,1.130,2.876,10:18,2913,0.341,11,1.13,2902,AGM 2,2906.04,Valve 607,8.30,0.91,1.04,2.41,24.51,1.95,3260,1.00,0.92,33.6853616,-118.0063469,77.36,CLS C
DMA 300,Metal Loss,Ext,7854.43,0.03,0.219,35000,ERW,6.625,715,11,0.024,0.605,0.593,6:53,2954,0.336,11,0.61,2949,AGM 2,2906.14,Valve 607,8.20,1.01,0.94,2.41,24.51,1.95,3260,1.00,0.92,33.6853616,-118.0063472,77.36,
CLS 47,Cluster,Ext,7854.45,0.02,0.219,35000,ERW,6.625,715,13,0.029,9.148,8.511,3:22,2696,0.368,9,6.62,2757,AGM 2,2906.17,Valve 607,8.17,1.04,0.91,2.41,24.51,1.95,3260,1.00,0.92,33.6853616,-118.0063473,77.36,CLS C
DMA 302,Metal Loss,Ext,7854.47,0.18,0.219,35000,ERW,6.625,715,12,0.026,0.315,0.541,10:14,2968,0.335,12,0.31,2967,AGM 2,2906.18,Valve 607,8.15,1.06,0.89,2.41,24.51,1.95,3260,1.00,0.92,33.6853616,-118.0063474,77.36,
CLS 48,Cluster,Ext,7854.65,0.09,0.219,35000,ERW,6.625,715,11,0.025,2.409,3.085,8:54,2834,0.350,8,2.41,2866,AGM 2,2906.36,Valve 607,7.98,1.23,0.72,2.41,24.51,1.95,3260,1.00,0.92,33.6853616,-118.0063480,77.36,CLS C
CLS 49,Cluster,Ext,7854.74,0.08,0.219,35000,ERW,6.625,715,13,0.029,0.990,2.154,1:16,2916,0.341,12,0.99,2911,AGM 2,2906.45,Valve 607,7.89,1.32,0.63,2.41,24.51,1.95,3260,1.00,0.92,33.6853616,-118.0063483,77.36,CLS C
DMA 318,Metal Loss,Ext,7854.82,0.10,0.219,35000,ERW,6.625,715,10,0.023,0.629,0.701,10:57,2953,0.336,10,0.63,2949,AGM 2,2906.53,Valve 607,7.81,1.40,0.55,2.41,24.51,1.95,3260,1.00,0.92,33.6853616,-118.0063485,77.36,
DMA 319,Metal Loss,Ext,7854.92,0.44,0.219,35000,ERW,6.625,715,13,0.029,0.447,0.768,6:21,2960,0.335,13,0.45,2957,AGM 2,2906.63,Valve 607,7.71,1.51,0.44,2.41,24.51,1.95,3260,1.00,0.92,33.6853616,-118.0063488,77.36,
GWD 3270,Girth Weld,,7855.36,0.30,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2907.08,Valve 607,7.26,1.95,1.00,24.51,1.95,1.00,3270,0.92,4.30,33.6853616,-118.0063503,77.38,
BND 50,Bend,,7855.67,0.70,0.219,35000,ERW,6.625,715,,,14.788,,,,,,,,AGM 2,2907.38,Valve 607,6.96,0.30,0.70,24.51,1.95,1.00,3270,0.92,4.30,33.6853615,-118.0063513,77.41,6.7D 25.5 deg sag bend
GWD 3280,Girth Weld,,7856.37,0.92,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2908.08,Valve 607,6.26,1.00,0.92,1.95,1.00,0.92,3280,4.30,2.12,33.6853615,-118.0063535,77.61,
GWD 3290,Girth Weld,,7857.29,0.21,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2909.00,Valve 607,5.34,0.92,4.30,1.00,0.92,4.30,3290,2.12,5.14,33.6853615,-118.0063562,77.95,
BND 51,Bend,,7857.50,1.25,0.219,35000,ERW,6.625,715,,,14.334,,,,,,,,AGM 2,2909.21,Valve 607,5.13,0.21,4.09,1.00,0.92,4.30,3290,2.12,5.14,33.6853615,-118.0063569,77.99,6.8D 24.5 deg over bend
SUP 1,Support,,7858.75,2.12,0.219,35000,ERW,6.625,715,,,,,12:20,,,,,,AGM 2,2910.46,Valve 607,3.88,1.46,2.85,1.00,0.92,4.30,3290,2.12,5.14,33.6853614,-118.0063610,78.05,Full Circ.
TAP 7,TAP,,7860.86,0.73,0.219,35000,ERW,6.625,715,,,,,11:54,,,,,,AGM 2,2912.58,Valve 607,1.76,3.57,0.73,1.00,0.92,4.30,3290,2.12,5.14,33.6853613,-118.0063679,78.12,
GWD 3300,Girth Weld,,7861.59,1.04,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2913.30,Valve 607,1.04,4.30,2.12,0.92,4.30,2.12,3300,5.14,2.44,33.6853613,-118.0063702,78.14,
VLV 1,Valve,,7862.63,1.09,0.219,35000,ERW,6.625,715,,,,,,,,,,,AGM 2,2914.34,MLV 1,21.63,1.04,1.09,0.92,4.30,2.12,3300,5.14,2.44,33.6853612,-118.0063736,78.17,Valve 607 Located Inside Underground Vault by Carls JR|Start Section CSFM 1305|End Section CSFM 825
GWD 3310,Girth Weld,,7863.71,4.14,0.219,35000,ERW,6.625,715,,,,,,,,,,,Valve 607,1.09,MLV 1,20.54,2.12,5.14,4.30,2.12,5.14,3310,2.44,1.01,33.6853612,-118.0063772,78.20,
TAP 8,TAP,,7867.85,1.00,0.219,35000,ERW,6.625,715,,,,,11:44,,,,,,Valve 607,5.23,MLV 1,16.40,4.14,1.00,4.30,2.12,5.14,3310,2.44,1.01,33.6853610,-118.0063906,78.28,
GWD 3320,Girth Weld,,7868.85,1.25,0.219,35000,ERW,6.625,715,,,,,,,,,,,Valve 607,6.23,MLV 1,15.40,5.14,2.44,2.12,5.14,2.44,3320,1.01,1.02,33.6853610,-118.0063939,78.29,
BND 52,Bend,,7870.11,1.18,0.219,35000,ERW,6.625,715,,,29.711,,,,,,,,Valve 607,7.48,MLV 1,14.15,1.25,1.18,2.12,5.14,2.44,3320,1.01,1.02,33.6853621,-118.0063976,78.30,3.0D 91.8 deg right turn bend
GWD 3330,Girth Weld,,7871.29,1.01,0.219,35000,ERW,6.625,715,,,,,,,,,,,Valve 607,8.67,MLV 1,12.96,2.44,1.01,5.14,2.44,1.01,3330,1.02,5.04,33.6853650,-118.0063992,78.32,
GWD 3340,Girth Weld,,7872.30,0.53,0.219,35000,ERW,6.625,715,,,,,,,,,,,Valve 607,9.67,MLV 1,11.95,1.01,1.02,2.44,1.01,1.02,3340,5.04,2.42,33.6853677,-118.0063992,78.34,
TEE 2,Tee,,7872.82,0.49,0.219,35000,ERW,6.625,715,,,8.835,8.835,3:03,,,,,,Valve 607,10.20,MLV 1,11.43,0.52,0.49,2.44,1.01,1.02,3340,5.04,2.42,33.6853692,-118.0063992,78.36,
GWD 3350,Girth Weld,,7873.32,5.04,0.219,35000,ERW,6.625,715,,,,,,,,,,,Valve 607,10.69,MLV 1,10.94,1.02,5.04,1.01,1.02,5.04,3350,2.42,2.42,33.6853705,-118.0063992,78.36,
GWD 3360,Girth Weld,,7878.35,1.26,0.219,35000,ERW,6.625,715,,,,,,,,,,,Valve 607,15.73,MLV 1,5.90,5.04,2.42,1.02,5.04,2.42,3360,2.42,2.12,33.6853842,-118.0063993,78.44,
BND 53,Bend,,7879.62,1.15,0.219,35000,ERW,6.625,715,,,28.560,,,,,,,,Valve 607,16.99,MLV 1,4.64,1.27,1.15,1.02,5.04,2.42,3360,2.42,2.12,33.6853874,-118.0063979,78.45,3.0D 90.6 deg right turn bend
GWD 3370,Girth Weld,,7880.77,1.03,0.219,35000,ERW,6.625,715,,,,,,,,,,,Valve 607,18.14,MLV 1,3.49,2.42,2.42,5.04,2.42,2.42,3370,2.12,0.62,33.6853887,-118.0063946,78.49,
TAP 9,TAP,,7881.80,1.39,0.219,35000,ERW,6.625,715,,,,,5:45,,,,,,Valve 607,19.17,MLV 1,2.46,1.03,1.39,5.04,2.42,2.42,3370,2.12,0.62,33.6853887,-118.0063912,78.52,
GWD 3380,Girth Weld,,7883.19,1.06,0.219,35000,ERW,6.625,715,,,,,,,,,,,Valve 607,20.56,MLV 1,1.06,2.42,2.12,2.42,2.42,2.12,3380,0.62,2.15,33.6853887,-118.0063867,78.55,
VLV 2,Valve,,7884.25,1.05,0.219,35000,ERW,6.625,715,,,,,,,,,,,Valve 607,21.63,MLV 2,2.73,1.06,1.05,2.42,2.42,2.12,3380,0.62,2.15,33.6853887,-118.0063832,78.57,MLV 1
GWD 3390,Girth Weld,,7885.31,0.61,0.219,35000,ERW,6.625,715,,,,,,,,,,,MLV 1,1.05,MLV 2,1.68,2.12,0.62,2.42,2.12,0.62,3390,2.15,4.10,33.6853887,-118.0063798,78.58,
GWD 3400,Girth Weld,,7885.92,1.07,0.219,35000,ERW,6.625,715,,,,,,,,,,,MLV 1,1.67,MLV 2,1.06,0.62,2.15,2.12,0.62,2.15,3400,4.10,0.91,33.6853887,-118.0063778,78.59,
VLV 3,Valve,,7886.99,1.08,0.219,35000,ERW,6.625,715,,,,,,,,,,,MLV 1,2.73,AGM 3,2776.95,1.06,1.08,2.12,0.62,2.15,3400,4.10,0.91,33.6853887,-118.0063743,78.60,MLV 2
GWD 3410,Girth Weld,,7888.07,0.74,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,1.08,AGM 3,2775.87,2.15,4.10,0.62,2.15,4.10,3410,0.91,0.92,33.6853887,-118.0063708,78.61,
TAP 10,TAP,,7888.81,2.08,0.219,42000,ERW,6.625,728,,,,,11:56,,,,,,MLV 2,1.82,AGM 3,2775.13,0.74,3.36,0.62,2.15,4.10,3410,0.91,0.92,33.6853887,-118.0063684,78.61,
SUP 2,Support,,7890.89,1.28,0.219,42000,ERW,6.625,728,,,,,12:16,,,,,,MLV 2,3.90,AGM 3,2773.05,2.82,1.28,0.62,2.15,4.10,3410,0.91,0.92,33.6853888,-118.0063616,78.63,Full Circ.
GWD 3420,Girth Weld,,7892.17,0.17,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,5.18,AGM 3,2771.77,4.10,0.91,2.15,4.10,0.91,3420,0.92,13.00,33.6853888,-118.0063574,78.65,
BND 54,Bend,,7892.34,0.74,0.219,42000,ERW,6.625,728,,,15.196,,,,,,,,MLV 2,5.35,AGM 3,2771.60,0.17,0.74,2.15,4.10,0.91,3420,0.92,13.00,33.6853888,-118.0063569,78.63,6.2D 27.4 deg left turn over bend
GWD 3430,Girth Weld,,7893.08,0.92,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,6.09,AGM 3,2770.86,0.91,0.92,4.10,0.91,0.92,3430,13.00,1.21,33.6853889,-118.0063546,78.42,
GWD 3440,Girth Weld,,7894.00,0.17,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,7.01,AGM 3,2769.94,0.92,13.00,0.91,0.92,13.00,3440,1.21,20.45,33.6853890,-118.0063518,78.09,
BND 55,Bend,,7894.16,12.84,0.219,42000,ERW,6.625,728,,,15.615,,,,,,,,MLV 2,7.18,AGM 3,2769.77,0.17,12.84,0.91,0.92,13.00,3440,1.21,20.45,33.6853890,-118.0063513,78.06,6.9D 24.9 deg right turn sag bend
GWD 3450,Girth Weld,,7907.00,0.68,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,20.01,AGM 3,2756.94,13.00,1.21,0.92,13.00,1.21,3450,20.45,1.22,33.6853893,-118.0063094,77.92,
BND 56,Bend,,7907.67,0.54,0.219,42000,ERW,6.625,728,,,14.528,,,,,,,,MLV 2,20.69,AGM 3,2756.26,0.68,0.54,0.92,13.00,1.21,3450,20.45,1.22,33.6853897,-118.0063073,77.91,3.0D 49.8 deg left turn bend
GWD 3460,Girth Weld,,7908.21,20.45,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,21.23,AGM 3,2755.73,1.21,20.45,13.00,1.21,20.45,3460,1.22,4.17,33.6853905,-118.0063058,77.91,
GWD 3470,Girth Weld,,7928.67,0.72,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,41.68,AGM 3,2735.27,20.45,1.22,1.21,20.45,1.22,3470,4.17,40.98,33.6854306,-118.0062595,77.81,
BND 57,Bend,,7929.38,0.51,0.219,42000,ERW,6.625,728,,,14.646,,,,,,,,MLV 2,42.39,AGM 3,2734.56,0.71,0.50,1.21,20.45,1.22,3470,4.17,40.98,33.6854323,-118.0062583,77.81,3.0D 49.9 deg left turn bend
GWD 3480,Girth Weld,,7929.88,4.17,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,42.90,AGM 3,2734.05,1.22,4.17,20.45,1.22,4.17,3480,40.98,40.46,33.6854336,-118.0062579,77.81,
GWD 3490,Girth Weld,,7934.06,40.98,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,47.07,AGM 3,2729.88,4.17,40.98,1.22,4.17,40.98,3490,40.46,40.88,33.6854450,-118.0062584,77.82,
GWD 3500,Girth Weld,,7975.04,40.46,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,88.05,AGM 3,2688.90,40.98,40.46,4.17,40.98,40.46,3500,40.88,40.86,33.6855567,-118.0062609,77.82,
GWD 3510,Girth Weld,,8015.50,40.88,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,128.51,AGM 3,2648.44,40.46,40.88,40.98,40.46,40.88,3510,40.86,40.93,33.6856670,-118.0062616,78.35,
GWD 3520,Girth Weld,,8056.38,40.86,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,169.39,AGM 3,2607.56,40.88,40.86,40.46,40.88,40.86,3520,40.93,40.92,33.6857784,-118.0062616,78.44,
GWD 3530,Girth Weld,,8097.23,40.93,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,210.25,AGM 3,2566.71,40.86,40.93,40.88,40.86,40.93,3530,40.92,40.85,33.6858898,-118.0062619,78.67,
GWD 3540,Girth Weld,,8138.16,40.92,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,251.18,AGM 3,2525.77,40.93,40.92,40.86,40.93,40.92,3540,40.85,40.80,33.6860013,-118.0062621,77.82,
GWD 3550,Girth Weld,,8179.08,40.86,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,292.09,AGM 3,2484.86,40.92,40.85,40.93,40.92,40.85,3550,40.80,38.67,33.6861129,-118.0062614,77.43,
GWD 3560,Girth Weld,,8219.93,40.79,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,332.95,AGM 3,2444.00,40.85,40.80,40.92,40.85,40.80,3560,38.67,1.21,33.6862242,-118.0062608,77.77,
GWD 3570,Girth Weld,,8260.73,38.67,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,373.74,AGM 3,2403.21,40.80,38.67,40.85,40.80,38.67,3570,1.21,4.29,33.6863354,-118.0062602,77.67,
GWD 3580,Girth Weld,,8299.40,0.67,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,412.42,AGM 3,2364.54,38.67,1.21,40.80,38.67,1.21,3580,4.29,1.22,33.6864408,-118.0062582,76.63,
BND 58,Bend,,8300.07,0.54,0.219,42000,ERW,6.625,728,,,14.528,,,,,,,,MLV 2,413.09,AGM 3,2363.86,0.67,0.54,40.80,38.67,1.21,3580,4.29,1.22,33.6864426,-118.0062582,76.50,3.0D 49.3 deg left turn over bend
GWD 3590,Girth Weld,,8300.61,4.29,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,413.62,AGM 3,2363.33,1.21,4.29,38.67,1.21,4.29,3590,1.22,40.91,33.6864438,-118.0062582,76.22,
GWD 3600,Girth Weld,,8304.90,0.69,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,417.91,AGM 3,2359.04,4.29,1.22,1.21,4.29,1.22,3600,40.91,40.79,33.6864519,-118.0062582,73.11,
BND 59,Bend,,8305.59,0.54,0.219,42000,ERW,6.625,728,,,14.685,,,,,,,,MLV 2,418.60,AGM 3,2358.35,0.69,0.54,1.21,4.29,1.22,3600,40.91,40.79,33.6864534,-118.0062582,72.72,3.0D 50.6 deg right turn sag bend
GWD 3610,Girth Weld,,8306.12,40.91,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,419.14,AGM 3,2357.81,1.22,40.91,4.29,1.22,40.91,3610,40.79,40.64,33.6864548,-118.0062582,72.59,
GWD 3620,Girth Weld,,8347.03,40.78,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,460.05,AGM 3,2316.91,40.91,40.79,1.22,40.91,40.79,3620,40.64,40.91,33.6865663,-118.0062566,72.86,
GWD 3630,Girth Weld,,8387.82,40.64,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,500.83,AGM 3,2276.12,40.79,40.64,40.91,40.79,40.64,3630,40.91,40.98,33.6866774,-118.0062595,72.90,
GWD 3640,Girth Weld,,8428.46,40.91,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,541.47,AGM 3,2235.48,40.64,40.91,40.79,40.64,40.91,3640,40.98,40.91,33.6867880,-118.0062681,73.74,
GWD 3650,Girth Weld,,8469.37,40.98,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,582.39,AGM 3,2194.57,40.91,40.98,40.64,40.91,40.98,3650,40.91,40.97,33.6868994,-118.0062733,73.51,
GWD 3660,Girth Weld,,8510.35,40.91,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,623.37,AGM 3,2153.58,40.98,40.91,40.91,40.98,40.91,3660,40.97,40.93,33.6870112,-118.0062752,73.42,
GWD 3670,Girth Weld,,8551.26,40.97,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,664.28,AGM 3,2112.67,40.91,40.97,40.98,40.91,40.97,3670,40.93,40.80,33.6871226,-118.0062767,72.18,
GWD 3680,Girth Weld,,8592.24,40.93,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,705.25,AGM 3,2071.70,40.97,40.93,40.91,40.97,40.93,3680,40.80,40.75,33.6872343,-118.0062784,71.24,
GWD 3690,Girth Weld,,8633.17,40.80,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,746.18,AGM 3,2030.77,40.93,40.80,40.97,40.93,40.80,3690,40.75,40.40,33.6873458,-118.0062807,70.14,
GWD 3700,Girth Weld,,8673.97,40.76,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,786.99,AGM 3,1989.97,40.80,40.75,40.93,40.80,40.75,3700,40.40,39.82,33.6874570,-118.0062840,69.30,
GWD 3710,Girth Weld,,8714.72,40.40,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,827.74,AGM 3,1949.21,40.75,40.40,40.80,40.75,40.40,3710,39.82,40.79,33.6875680,-118.0062875,68.47,
GWD 3720,Girth Weld,,8755.12,39.82,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,868.14,AGM 3,1908.81,40.40,39.82,40.75,40.40,39.82,3720,40.79,40.93,33.6876781,-118.0062905,68.24,
GWD 3730,Girth Weld,,8794.94,40.79,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,907.96,AGM 3,1868.99,39.82,40.79,40.40,39.82,40.79,3730,40.93,40.99,33.6877866,-118.0062931,67.31,
GWD 3740,Girth Weld,,8835.73,40.94,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,948.75,AGM 3,1828.20,40.79,40.93,39.82,40.79,40.93,3740,40.99,40.91,33.6878977,-118.0062962,65.53,
GWD 3750,Girth Weld,,8876.67,40.99,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,989.68,AGM 3,1787.27,40.93,40.99,40.79,40.93,40.99,3750,40.91,40.99,33.6880092,-118.0063000,65.39,
GWD 3760,Girth Weld,,8917.66,40.91,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,1030.68,AGM 3,1746.28,40.99,40.91,40.93,40.99,40.91,3760,40.99,40.82,33.6881209,-118.0063031,64.75,
GWD 3770,Girth Weld,,8958.57,40.99,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,1071.59,AGM 3,1705.36,40.91,40.99,40.99,40.91,40.99,3770,40.82,41.02,33.6882324,-118.0063069,64.42,
GWD 3780,Girth Weld,,8999.56,40.82,0.219,42000,ERW,6.625,728,,,,,,,,,,,MLV 2,1112.58,AGM 3,1664.38,40.99,40.82,40.91,40.99,40.82,3780,41.02,40.81,33.6883441,-118.0063118,63.74,
